,Word,Frequency
1729,object,3
1730,brave,3
1731,ive,3
1732,conditions,3
1733,saving,3
1734,losing,3
1735,colleges,3
1736,remembers,3
1737,luke,3
1738,music,3
1739,slave,3
1740,selling,3
1741,rolls,3
1742,panicked,3
1743,ron,3
1744,meaning,3
1745,dress,3
1746,schoolers,3
1747,seasonal,3
1748,murdered,3
1749,objects,3
1750,acting,3
1751,depression,3
1752,applebees,3
1753,daily,3
1754,art,3
1755,confused,3
1756,afghanistan,3
1757,analyst,3
1758,native,3
1759,high-powered,3
1760,marvel,3
1761,interests,3
1762,connect,3
1763,halfway,3
1764,assaulted,3
1765,tom,3
1766,handsome,3
1767,arms,3
1768,produces,3
1769,eagles,3
1770,niro,3
1771,dimly,3
1772,companies,3
1773,hate,3
1774,tools,3
1775,blood-red,3
1776,airing,3
1777,costco,3
1778,lobby,3
1779,delicious,3
1780,speaking,3
1781,truth,3
1782,lying,3
1783,china,3
1784,funeral,3
1785,disembodied,3
1786,cursed,3
1787,theories,3
1788,dealing,3
1789,difficult,3
1790,status,3
1791,pizza,3
1792,brick,3
1793,isnt,3
1794,smithsonian,3
1795,obamas,3
1796,lifelong,3
1797,richard,3
1798,shitty,3
1799,shadowy,3
1800,special,3
1801,bars,3
1802,seen,3
1803,regularly,3
1804,confidence,3
1805,legalize,3
1806,attractive,3
1807,ballot,3
1808,mayor,3
1809,religious,3
1810,thrown,3
1811,rules,3
1812,plea,3
1813,chanting,3
1814,holds,3
1815,ruined,3
1816,interested,3
1817,strong,3
1818,impression,3
1819,cups,3
1820,providing,3
